item_id,order_id,product_id,quantity,unit_price,discount_percent
1,1,81,5,641.3,18
2,1,3,5,52845.51,94
3,2,15,2,17548.6,28
4,2,171,2,5623.35,38
5,2,37,3,3250.66,92
6,2,112,1,5163.37,62
7,3,154,2,1413.98,14
8,3,189,1,2811.23,0
9,3,27,2,3860.01,77
10,3,134,1,389.01,66
11,3,171,1,5623.35,31
12,4,8,1,4278.68,60
13,4,48,1,17690.82,64
14,5,197,4,964.09,7
15,5,75,1,1758.88,38
16,5,192,4,7461.34,61
17,5,3,2,52845.51,30
18,6,28,3,702.92,78
19,6,46,4,6493.42,84
20,6,3,5,52845.51,15
21,6,84,4,529.09,18
22,6,90,1,17430.69,23
23,7,132,2,14673.24,21
24,7,37,5,3250.66,94
25,8,15,2,17548.6,60
26,8,181,-4,3357.0,37
27,8,87,3,68101.36,85
28,8,154,1,1413.98,75
29,8,88,4,7189.72,47
30,9,141,4,10789.69,49
31,9,121,1,1118.51,59
32,9,42,4,15510.68,54
33,10,149,1,3551.09,36
34,10,137,4,14060.07,15
35,11,95,4,29603.95,1
36,11,44,5,70908.36,38
37,11,20,1,1317.81,82
38,11,13,5,1849.34,56
39,11,176,1,59597.44,45
40,12,146,4,1205.79,92
41,12,171,4,5623.35,35
42,13,172,2,16100.85,45
43,14,121,5,1118.51,26
44,14,102,3,68170.84,90
45,14,88,5,7189.72,49
46,14,191,5,1754.06,8
47,14,125,2,800.11,83
48,15,85,3,2290.94,83
49,15,74,5,245.13,43
50,16,87,2,68101.36,35
51,16,63,3,430.09,50
52,16,45,1,9220.4,82
53,16,24,4,2479.74,48
54,17,34,5,3262.67,84
55,17,37,2,3250.66,73
56,17,133,5,4126.14,99
57,17,94,5,2140.24,33
58,18,133,3,4126.14,75
59,18,98,-5,1260.01,44
60,19,88,5,7189.72,51
61,19,142,1,11700.98,5
62,19,168,1,2536.06,93
63,19,91,2,4806.55,29
64,19,93,1,1383.07,85
65,20,17,4,4055.38,86
66,21,167,3,693.18,97
67,21,1,2,253.9,98
68,21,88,2,7189.72,13
69,21,55,2,1885.07,93
70,22,91,4,4806.55,8
71,22,130,1,530.75,78
72,22,160,3,14389.43,14
73,22,186,1,4929.38,95
74,23,75,4,1758.88,97
75,24,86,5,29410.8,80
76,24,118,1,2637.64,22
77,24,125,3,800.11,13
78,25,112,-4,5163.37,17
79,25,88,5,7189.72,71
80,25,134,2,389.01,25
81,25,137,-3,14060.07,62
82,26,8,3,4278.68,28
83,26,143,2,7284.34,94
84,26,69,2,6749.31,55
85,26,111,5,7723.9,24
86,27,75,5,1758.88,3
87,28,99,2,8134.79,4
88,29,160,1,14389.43,46
89,29,25,4,3779.14,72
90,30,136,1,2848.35,43
91,30,198,2,2694.15,87
92,30,61,5,27642.73,63
93,30,176,2,59597.44,26
94,30,130,5,530.75,60
95,31,67,-3,94052.48,45
96,31,114,5,12262.14,71
97,31,190,2,1227.09,8
98,31,106,4,484.23,54
99,31,31,4,1292.25,9
100,32,123,1,2794.3,16
101,32,179,5,2528.54,38
102,32,137,1,14060.07,15
103,32,104,4,3389.18,29
104,32,18,1,3084.08,76
105,33,25,3,3779.14,2
106,33,78,2,40123.29,37
107,33,128,3,5319.49,49
108,33,193,3,1383.66,8
109,33,19,2,8561.48,36
110,34,112,-5,5163.37,73
111,35,81,5,641.3,78
112,35,114,5,12262.14,39
113,36,151,5,92003.66,7
114,36,130,5,530.75,89
115,36,83,1,18455.42,74
116,36,4,4,18013.15,33
117,37,102,1,68170.84,43
118,38,44,3,70908.36,25
119,38,26,3,22441.58,97
120,38,115,1,729.43,17
121,38,54,2,4173.59,70
122,39,94,1,2140.24,30
123,39,72,4,199.64,9
124,39,53,5,1750.15,78
125,40,81,3,641.3,9
126,41,167,5,693.18,94
127,41,161,5,3019.49,10
128,41,80,5,274.27,61
129,41,46,2,6493.42,34
130,42,143,1,7284.34,4
131,43,101,5,24788.51,28
132,43,189,3,2811.23,55
133,43,35,4,3131.28,38
134,43,183,2,1718.29,2
135,44,144,1,382.9,99
136,45,88,5,7189.72,77
137,45,173,4,14158.62,87
138,46,199,5,702.8,61
139,47,77,4,1679.18,98
140,48,190,2,1227.09,55
141,48,48,4,17690.82,70
142,48,76,2,19136.21,14
143,48,26,4,22441.58,15
144,49,160,3,14389.43,45
145,49,77,2,1679.18,43
146,49,144,4,382.9,7
147,49,143,2,7284.34,29
148,49,31,1,1292.25,75
149,50,141,2,10789.69,52
150,51,185,5,1085.28,5
151,51,179,1,2528.54,92
152,51,125,2,800.11,7
153,51,40,1,6624.33,7
154,51,171,2,5623.35,56
155,52,190,3,1227.09,5
156,52,125,3,800.11,44
157,53,150,2,22291.25,37
158,53,130,2,530.75,77
159,53,188,4,41686.05,61
160,53,168,1,2536.06,84
161,53,10,1,3469.21,9
162,54,1,-5,253.9,26
163,54,35,4,3131.28,90
164,54,197,3,964.09,28
165,55,52,3,3961.79,46
166,55,90,5,17430.69,37
167,55,160,2,14389.43,67
168,55,29,3,4216.76,40
169,56,139,5,7772.31,13
170,56,164,1,2495.26,44
171,56,19,4,8561.48,90
172,56,106,5,484.23,62
173,56,199,3,702.8,10
174,57,77,2,1679.18,66
175,57,95,2,29603.95,39
176,58,71,2,1994.84,15
177,58,121,3,1118.51,92
178,58,47,2,497.81,4
179,58,81,2,641.3,89
180,58,83,4,18455.42,83
181,59,72,1,199.64,2
182,59,18,4,3084.08,4
183,59,11,3,763.98,35
184,59,177,5,3546.32,49
185,60,148,1,3368.6,7
186,60,63,3,430.09,78
187,60,12,4,37578.36,63
188,61,197,-4,964.09,49
189,62,2,1,59090.87,28
190,62,42,2,15510.68,48
